City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
193,Yerbogachen,RU,61.2767,108.0108,58.69,29,71,7.43,broken clouds
194,Saint-Louis,SN,16.3333,-15.0,88.23,24,4,3.47,clear sky
195,Etchojoa,MX,26.9167,-109.6333,86.27,38,0,8.88,clear sky
196,Yamada,JP,39.4667,141.95,74.21,57,94,10.11,light rain
197,Kolda,SN,12.8833,-14.95,77.34,74,32,5.5,scattered clouds
198,Shitanjing,CN,39.2342,106.3439,79.61,25,100,25.1,overcast clouds
199,Tollose,DK,55.6125,11.7703,61.59,82,100,1.19,overcast clouds
200,Nome,US,64.5011,-165.4064,35.67,93,90,12.66,light snow
201,Arman,RU,59.7,150.1667,43.09,90,100,4.88,overcast clouds
202,Bubaque,GW,11.2833,-15.8333,79.45,84,99,13.49,overcast clouds
203,Kurchum,KZ,48.5722,83.6542,58.64,42,6,14.03,clear sky
204,Geraldton,AU,-28.7667,114.6,70.21,43,0,9.6,clear sky
205,Kichera,RU,55.9375,110.0997,65.14,41,93,8.75,overcast clouds
206,Rocha,UY,-34.4833,-54.3333,47.48,92,65,5.37,broken clouds
207,Berlevag,NO,70.8578,29.0864,41.74,75,7,19.93,clear sky
208,Lavrentiya,RU,65.5833,-171.0,36.28,76,94,12.46,overcast clouds
209,Tambo,PE,-14.8,-73.9167,32.9,39,9,1.1,clear sky
210,Ekhabi,RU,53.5102,142.9671,35.01,97,100,19.42,light rain
211,Srednekolymsk,RU,67.45,153.6833,72.14,26,13,20.76,few clouds
212,Grand Gaube,MU,-20.0064,57.6608,75.38,84,66,1.01,broken clouds
213,Rudnogorsk,RU,57.2639,103.7519,58.21,33,91,9.82,overcast clouds
214,Kimberley,ZA,-28.7323,24.7623,40.69,65,0,9.22,clear sky
215,Bredasdorp,ZA,-34.5322,20.0403,51.8,41,1,5.5,clear sky
216,Port Elizabeth,ZA,-33.918,25.5701,46.69,87,0,5.75,clear sky
217,Poronaysk,RU,49.2167,143.1167,52.99,76,99,7.72,overcast clouds
218,Boa Vista,BR,2.8197,-60.6733,76.98,88,90,2.3,overcast clouds
219,Hegang,CN,47.4,130.3667,54.57,78,100,3.04,overcast clouds
220,Suntar,RU,62.1444,117.6319,52.43,74,100,2.08,overcast clouds
221,Anage,BR,-14.6122,-41.1356,65.17,94,21,3.42,few clouds
222,Souillac,MU,-20.5167,57.5167,75.36,88,75,0.92,broken clouds
223,West Bay,KY,19.3667,-81.4167,82.0,84,58,3.0,broken clouds
224,Ambilobe,MG,-13.2,49.05,72.52,87,85,2.39,overcast clouds
